Item,Quantity Per PCB,Manufacturer PN,Manufacturer,Supplier PN,Supplier,Unit Price,Footprint,Value,References
1,34,CGA3E2X7R1E104K080AA,TDK Corporation,445-5667-1-ND,digikey,0.063,603,0.1uF,C1 C4 C5 C7 C8 C10 C11 C12 C13 C14 C15 C16 C18 C19 C20 C21 C22 C23 C25 C26 C37 C41  C43 C47 C56 C64 C65 C66 C71 C72 C74 C75 C79 C82 
2,18,TMK107BJ105KA-T,Taiyo Yuden,587-1248-1-ND,digikey,0.06,603,1.0uF,C2 C17 C24 C49 C53 C57 C58 C59 C60 C61 C62 C63 C67 C68 C69 C70 C73 C76
3,4,GRM31CD80J107ME39L,Murata Electronics North America,490-10525-1-ND,digikey,0.57,1206,100uF,C36 C39 C42 C45
4,7,C0603C103J3GACTU,KEMET,399-7838-1-ND,digikey,0.33,603,10nF,C3 C6 C9 C28 C31 C32 C35
5,1,C0805C103J3GACTU,KEMET,399-7990-1-ND,digikey,0.034,805,10uF,C27
6,1,1210D103J250KHT,Knowles Novacap,1763-1060-1-ND,digikey,4.91,1210,10uF,C77
7,2,C0603C102F3GACTU,KEMET,399-7825-1-ND,digikey,0.29,603,1nF,C29 C33
8,1,EMK107BJ225KA-T,Taiyo Yuden,587-1430-1-ND,digikey,0.12,603,2.2uF,C78
9,2,CL10B333KA8NNNC,Samsung Electro-Mechanics,1276-2038-1-ND,digikey,0.1,603,33nF,C30 C34 C40 C46
10,2,C0603C479D3GAC7867,KEMET,399-15411-1-ND,digikey,0.29,603,4.7pF,C80 C81
11,4,C0603C472F3GACTU,KEMET,399-9087-1-ND,digikey,1.15,603,4.7uF,C48 C51 C52 C55
12,2,CL10B473KA8NFNC,Samsung Electro-Mechanics,1276-2072-1-ND,digikey,0.1,603,47nF,C50 C54
13,2,C0603C562K3RAC7867,KEMET,399-15415-6-ND,digikey,0.29,603,5.6nF,C38 C44
14,4,DZ2J150M0L,Panasonic Electronics Components,DZ2J150M0LCT-ND,digikey,0.21,SMINI2-F5-B,15V,D7 D8 D9 D10
15,4,1N4148W-7-F,Diodes Incorporated,1N4148W-FDICT-ND,digikey,0.18,SOD-123,1N4148,D11 D12 D13 D14
16,3,5973311402NF,Dialight,350-3771-ND,digikey,0.82,1206,5973311402,D3 D4 D16
17,1,BAT54C RFG,Taiwan Semiconductor Corporation,BAT54CRFGCT-ND,digikey,0.25,DIODE_SOT23,BAT54C,D2
18,2,MBR0520-TP,Micro Commercial Co,MBR0520TPMSCT-ND,digikey,0.41,SOD-123,MBR0520,D1 D17
19,1,QBLP677-RGB (HIGH BRIGHT),QT Brighttek QTB,1516-1195-1-ND,digikey,0.89,4-PLCC,QBLP677-RGB,D15
20,2,LTST-C191KSKT,Lite-On Inc,160-1448-1-ND,digikey,0.31,603,Yellow,D5 D6
21,3,742792651,Wurth Electronics Inc,732-1593-1-ND,digikey,0.17,603,30~/1.8A,FB1 FB2 FB3
22,1,LM358DT,STMicroelectronics,497-1591-1-ND,digikey,0.43,SO08,LM358D,IC2
23,1,STM32F401CBU6,STMicroelectronics,497-17425-ND,digikey,4.98,UFQFPN48,STM32F411CEU6,IC1
24,1,DX07S024JJ2R1300,JAE Electronics,670-2794-1-ND,digikey,2.61,,DX07S024JJ2,J1
25,2,MSS1038-153MLC,Coilcraft,994-MSS1038-153MLC,mouser,1.73,INDUCTOR-COILCRAFT_MSS1038,MSS1038-153ML,L1 L2
26,3,2N7002H-7,Diodes Incorporated,2N7002H-7DICT-ND,digikey,0.3,SOT23,2N7002,Q5 Q6 Q7
27,4,"BSS138P,215",Nexperia USA Inc.,1727-1142-1-ND,digikey,0.28,SOT23,BSS138,Q1 Q2 Q3 Q4
28,3,RC0603JR-070RL,Yageo,311-0.0GRCT-ND,digikey,0.1,603,0,R83 R103 R104
29,1,PMR03EZPFU10L0,Rohm Semiconductor,RHM0.01BVCT-ND,digikey,0.69,603,0.01,R88
30,1,WSL0603R0200FEA,Vishay Dale,WSLJ-.02CT-ND,digikey,0.84,603,0.02,R80
31,2,UCR03EWPFSR030,Rohm Semiconductor,RHM1268CT-ND,digikey,0.58,603,0.3,R45 R58
32,4,ERJ-3RQF1R0V,Panasonic Electronics Components,P1.0AJCT-ND,digikey,0.17,603,1,R81 R82 R86 R87
33,3,MCT06030C1801FP500,Vishay Beyschlag,MCT0603-1.80K-CFCT-ND,digikey,0.18,603,1.8K,R42 R55 R61
34,2,ERA-3AEB101V,Panasonic Electronics Components,P100DBCT-ND,digikey,0.35,603,100,R41 R54
35,7,RT0603BRD07100KL,Yageo,YAG1235CT-ND,digikey,0.35,603,100K,R44 R57 R93 R94 R95 R96 R105
36,20,MCT06030C1002FP500,Vishay Beyschlag,MCT0603-10.0K-CFCT-ND,digikey,0.152,603,10K,R10 R15 R17 R21 R25 R27 R28 R29 R30 R31 R34 R35 R38 R48 R66 R76 R89 R91 R102 R106
37,1,ERA-3AEB1073V,Panasonic Electronics Components,P107KDBCT-ND,digikey,0.35,603,107K ,R79 
38,1,ERA-3AEB1153V,Panasonic Electronics Components,P115KDBCT-ND,digikey,0.35,603,115K,R85  
39,1,ERA-3AEB1400V,Panasonic Electronics Components,P140DBCT-ND,digikey,0.35,603,140,R72
40,2,ERA-3AEB1873V,Panasonic Electronics Components,P187KDBCT-ND,digikey,0.35,603,187K,R47 R65
41,9,ERA-3AEB102V,Panasonic Electronics Components,P1.0KDBCT-ND,digikey,0.35,603,1K,R32 R33 R36 R37 R51 R59 R64 R67 R70
42,1,CSR1206-0R001F1,Riedon,696-1369-1-ND,digikey,0.59,1206,1m,R99
43,2,CPF0603B1M0E,TE Connectivity Passive Product,A119955CT-ND,digikey,0.52,603,1M,R49 R62
44,1,ERA-3AEB202V,Panasonic Electronics Components,P2.0KDBCT-ND,digikey,0.35,603,2K ,R84 
45,1,ESR03EZPJ200,Rohm Semiconductor,RHM20DCT-ND,digikey,0.1,603,20,R98
46,2,ERA-3AEB204V,Panasonic Electronics Components,P200KDBCT-ND,digikey,0.35,603,200K,R3 R4
47,3,ESR03EZPJ221,Rohm Semiconductor,RHM220DCT-ND,digikey,0.1,603,220,R77 R90 R92
48,1,RC0603FR-07330RL,Yageo,311-330HRCT-ND,digikey,0.1,603,330,R97
49,2,ERA-3AEB333V,Panasonic Electronics Components,P33KDBCT-ND,digikey,0.35,603,33K,R40 R53
50,3,ERA-3AEB302V,Panasonic Electronics Components,P3.0KDBCT-ND,digikey,0.35,603,3K,R69 R71 R73
51,1,ERA-3AEB4531V,Panasonic Electronics Components,P4.53KDBCT-ND,digikey,0.35,603,4.5K,R74
52,1,RNCP0603FTD4R70,Stackpole Electronics Inc,RNCP0603FTD4R70CT-ND,digikey,0.1,603,4.7,R75
